Full dataset,,,,,,,,,,,,,,,,,
,Field labels,GP7,SrpI-like,Gp13-like,Gp10A-like,Phage_cap_E,P22_CoatProtein,Phage_capsid,Phage_capsid_2,Linocin_M18,L_lactis_ph-MCP,DUF2184,ENC_III,ENCP4,DUF6260,DUF5309,Total
,Notes,,,,,,,,,,,,,,,,
,Generated_by,Co_occurrence_tkinter.py,,,,,,,,,,,,,,,
,Date,12/1/25,,,,,,,,,,,,,,,
Control_DTR_110169_1,Control_DTR_110169_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_022117_4,Control_DTR_022117_4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_010412_2,Mini_DTR_010412_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_251325_1,Mini_DTR_251325_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Micro_DTR_679629_8,Micro_DTR_679629_8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Control_DTR_591332_19,Control_DTR_591332_19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_055730_7,Mini_DTR_055730_7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_258730_30,Control_DTR_258730_30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_654632_4,Control_DTR_654632_4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_644567_3,Mini_DTR_644567_3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_125658_12,Mini_DTR_125658_12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_661898_13,Mini_DTR_661898_13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_677945_11,Mini_DTR_677945_11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_606804_6,Mini_DTR_606804_6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
